"cell_id","N","gamma_v","gamma_o","variant","rep","lmm_auc","lmm_slope","lmm_intercept","lmm_nb10","lmm_nb20","gbm_auc","gbm_slope","gbm_intercept","gbm_nb10","gbm_nb20","lmm_coverage_slope","gbm_coverage_slope","mean_visits","prevalence","train_n","test_n","gbm_wins_auc","twin_delta_auc"
"C2_N500_g08_09",500,0.8,0.9,"treatment",22,0.793167372881356,1.16236580764592,-0.474229613388349,0.762962962962963,0.733333333333333,0.758474576271186,0.900844279285422,-0.149818969104852,0.762962962962963,0.733333333333333,1,1,7.742,0.806,350,150,0,-0.0346927966101696
"C2_N500_g08_09",500,0.8,0.9,"outcome",23,0.793636363636364,0.892709884118841,-0.33278648801773,0.703703703703704,0.66,0.790681818181818,0.934027904529031,-0.386324070055914,0.703703703703704,0.666666666666667,1,1,7.434,0.784,350,150,0,-0.00295454545454554
"C2_N500_g08_09",500,0.8,0.9,"treatment",24,0.836013645224172,1.38182539597487,-0.816516690723549,0.733333333333333,0.7,0.841130604288499,1.33183513382785,-0.807003393363013,0.733333333333333,0.7,0,0,7.896,0.786,350,150,1,0.00511695906432752
"C2_N500_g08_09",500,0.8,0.9,"outcome",25,0.771712158808933,1.08779608890888,0.378864264027023,0.807407407407407,0.783333333333333,0.765508684863524,1.01441976841705,0.413618721430787,0.807407407407407,0.785,1,1,7.358,0.778,350,150,0,-0.00620347394540943
"C2_N500_g08_09",500,0.8,0.9,"treatment",26,0.836388888888889,1.35516472958787,-0.30908891627094,0.777777777777778,0.75,0.815833333333333,1.21112395558531,-0.161648756292279,0.777777777777778,0.75,0,0,7.702,0.802,350,150,0,-0.0205555555555555
"C2_N500_g08_09",500,0.8,0.9,"outcome",27,0.782838983050847,1.02872843461953,-0.0225956117401155,0.762962962962963,0.733333333333333,0.775688559322034,0.992029726864254,-0.0164324019247328,0.762962962962963,0.733333333333333,1,1,7.836,0.762,350,150,0,-0.00715042372881347
"C2_N500_g08_09",500,0.8,0.9,"treatment",28,0.730434782608696,0.924256232388463,-0.197110844551266,0.740740740740741,0.708333333333333,0.732919254658385,0.894164160747572,-0.1312128931488,0.740740740740741,0.708333333333333,1,1,7.154,0.806,350,150,1,0.00248447204968938
"C2_N500_g08_09",500,0.8,0.9,"outcome",29,0.814444444444444,0.956133663122032,-0.465533402107404,0.777777777777778,0.75,0.809166666666667,0.907333841895697,-0.413827081190305,0.777777777777778,0.75,1,1,7.922,0.834,350,150,0,-0.00527777777777771
"C2_N500_g08_09",500,0.8,0.9,"treatment",30,0.779156327543424,0.839601003450909,0.540817400610348,0.807407407407407,0.785,0.771091811414392,0.784740832779213,0.586541091264308,0.807407407407407,0.785,1,0,7.796,0.786,350,150,0,-0.00806451612903225
"C3_N2k_g0",2000,0,0,"outcome",1,0.733898072570135,0.781122661425248,0.218017130865717,0.774074074074074,0.747083333333333,0.73372659304479,0.761395696320436,0.246293147286146,0.774259259259259,0.747083333333333,0,0,6.0785,0.796,1400,600,0,-0.000171479525344687
"C3_N2k_g0",2000,0,0,"treatment",2,0.775951192066953,1.10226289675504,0.0148197615207504,0.781481481481481,0.755,0.77640832688656,1.10826387536723,0.0100121411578058,0.781481481481481,0.755,1,1,6.0415,0.8,1400,600,1,0.00045713481960763
"C3_N2k_g0",2000,0,0,"outcome",3,0.733308559395516,0.782795717475052,0.208700875730656,0.783518518518519,0.7575,0.736723823680345,0.779970788175911,0.210261467447731,0.783703703703704,0.7575,0,0,6.0825,0.8055,1400,600,1,0.00341526428482952
"C3_N2k_g0",2000,0,0,"treatment",4,0.774304507875204,0.948810112861275,-0.226032578501532,0.729814814814815,0.697083333333333,0.77379156357492,0.945715839686947,-0.218672431004514,0.729814814814815,0.697083333333333,1,1,6.0855,0.781,1400,600,0,-0.000512944300283591
"C3_N2k_g0",2000,0,0,"outcome",5,0.810797287737884,1.15227761518484,-0.246908697529187,0.775925925925926,0.74875,0.807467347607792,1.12691150562064,-0.210999020393091,0.775925925925926,0.749166666666667,1,1,6.075,0.8015,1400,600,0,-0.00332994013009202
"C3_N2k_g0",2000,0,0,"treatment",6,0.786798233114848,1.0287505648429,-0.00183857259374042,0.78537037037037,0.76,0.782861926474779,0.998249164737215,0.0337179209770209,0.785555555555556,0.759583333333333,1,1,6.022,0.804,1400,600,0,-0.00393630664006839
"C3_N2k_g0",2000,0,0,"outcome",7,0.783697927947441,1.02462690092888,0.0786243245945963,0.788888888888889,0.762916666666667,0.780431015811133,1.01106291455688,0.0907390531609091,0.788888888888889,0.762916666666667,1,1,5.97,0.7935,1400,600,0,-0.00326691213630792
"C3_N2k_g0",2000,0,0,"treatment",8,0.727751756440281,0.736856112938211,0.425508865282352,0.792592592592593,0.765416666666667,0.725794057377049,0.72435787221068,0.440192029714319,0.792592592592593,0.765,0,0,6.065,0.8065,1400,600,0,-0.00195769906323184
